taxon,type,namesake,fictional_universe,character_type,media_type,notes_wiki,kingdom,phylum,class,order,family,genus,species_gbif,scientificName,canonicalName,rank,status,extinct,author_gbif,final_year
Saguinus oedipus,New World monkey,Oedipus Rex,Greek mythology,,Literature,"""Linnaeus had a penchant for giving primates names derived from mythology, sometimes with little obvious rationale. So he may have named this one after the mythical tragic King of Thebes, who unknowingly married his own mother.""",Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus oedipus,"Saguinus oedipus (Linnaeus, 1758)",Saguinus oedipus,SPECIES,ACCEPTED,False,Linnaeus,1758.0
Pseudoeurycea rex,Salamander,Oedipus Rex,Greek mythology,,Literature,Species formerly namedOedipus rex,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Pseudoeurycea,Pseudoeurycea rex,"Pseudoeurycea rex (Dunn, 1921)",Pseudoeurycea rex,SPECIES,ACCEPTED,False,Dunn,1921.0
Oedipodrilus oedipus,Segmented worm,Oedipus Rex,Greek mythology,,Literature,,Animalia,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,Oedipodrilus,Oedipodrilus oedipus,"Oedipodrilus oedipus Holt, 1967",Oedipodrilus oedipus,SPECIES,ACCEPTED,False,Holt,1967.0
Amblytylus peitho,Leaf bug,Peitho,Greek mythology,,Literature,,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Amblytylus,Amblytylus peitho,"Amblytylus peitho Linnavuori, 1997",Amblytylus peitho,SPECIES,ACCEPTED,False,Linnavuori,1997.0
Atomophora astraia,Leaf bug,Dike/Astraea,Greek mythology,,Literature,,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Atomophora,Atomophora astraia,"Atomophora astraia Linnavuori, 1997",Atomophora astraia,SPECIES,ACCEPTED,False,Linnavuori,1997.0
Pseudotanais gaiae,Tanaid,Gaia,Greek mythology,,Literature,P. gaiaeandP. uranosform a pair ofsister species.,Animalia,Arthropoda,Malacostraca,Tanaidacea,Pseudotanaidae,Pseudotanais,Pseudotanais gaiae,"Pseudotanais gaiae Jakiel, Palero & Błażewicz, 2019",Pseudotanais gaiae,SPECIES,ACCEPTED,False,"Jakiel, Palero & Błażewicz",2019.0
Pseudotanais uranos,Tanaid,Uranus,Greek mythology,,Literature,,Animalia,Arthropoda,Malacostraca,Tanaidacea,Pseudotanaidae,Pseudotanais,Pseudotanais uranos,"Pseudotanais uranos Jakiel, Palero & Błażewicz, 2019",Pseudotanais uranos,SPECIES,ACCEPTED,False,"Jakiel, Palero & Błażewicz",2019.0
Phyllodrepa daedali,Rove beetle,Daedalus,Greek mythology,,Literature,Fossil species found inEoceneBaltic amber.,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Phyllodrepa,Phyllodrepa daedali,"Phyllodrepa daedali Shavrin & Yamamoto, 2019",Phyllodrepa daedali,SPECIES,ACCEPTED,True,Shavrin & Yamamoto,2019.0
Phyllodrepa icari,Rove beetle,Icarus,Greek mythology,,Literature,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Phyllodrepa,Phyllodrepa icari,"Phyllodrepa icari Shavrin & Yamamoto, 2019",Phyllodrepa icari,SPECIES,ACCEPTED,True,Shavrin & Yamamoto,2019.0
Medusaceratops lokii,Ceratopsiandinosaur,Loki,Norse mythology,,Literature,"Loki has a ""helmet with [...] two giant hooks that come out of the top""",Animalia,Chordata,,,Ceratopsidae,Medusaceratops,Medusaceratops lokii,"Medusaceratops lokii Ryan, Russell & Hartman, 2010",Medusaceratops lokii,SPECIES,ACCEPTED,True,"Ryan, Russell & Hartman",2010.0
Joermungandr bolti,Recumbirostran,Jörmungandr,Norse mythology,,Literature,"""'Joermungandr' the Swedish phoneme of 'Jörmungandr' (gender: masculine) the name of the serpent that dwells in the 'Midgard Sea' from Norse mythology. The specific epithet 'bolti' is in honour of the late palaeontologist John R. Bolt.""",Animalia,Chordata,Amphibia,,,Joermungandr,Joermungandr bolti,"Joermungandr bolti Mann, Calthorpe & Maddin, 2021",Joermungandr bolti,SPECIES,ACCEPTED,True,"Mann, Calthorpe & Maddin",2021.0
Voconia loki,True bug,Loki,Norse mythology,,Literature,"""Named after the cunning trickster from Norse mythology and from the Marvel Comics' character, Loki, since this specimen deceived and tricked authors in a previous study (Hwang & Weirauch 2012) who misidentified it as 'Kayanocoris wegneri'.""",Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Voconia,Voconia loki,"Voconia loki Castillo, Rédei & Weirauch, 2022",Voconia loki,SPECIES,ACCEPTED,False,"Castillo, Rédei & Weirauch",2022.0
Gigantactis gargantua,Anglerfish,Gargantua,Gargantua and Pantagruel,,Literature,,Animalia,Chordata,,Lophiiformes,Gigantactinidae,Gigantactis,Gigantactis gargantua,"Gigantactis gargantua Bertelsen, Pietsch & Lavenberg, 1981",Gigantactis gargantua,SPECIES,ACCEPTED,False,"Bertelsen, Pietsch & Lavenberg",1981.0
Gargantuavis,Bird,Gargantua,Gargantua and Pantagruel,,Literature,"A genus of fossil flightless birds from theCretaceousof Europe, and the largest known birds of theMesozoicera; ""generic name from Gargantua, the giant of French folklore made famous byFrançois Rabelais, and avis, Latin for bird""",Animalia,Chordata,Aves,,Gargantuaviidae,Gargantuavis,,"Gargantuavis Buffetaut & Le Loeuff, 1998",Gargantuavis,GENUS,ACCEPTED,True,Buffetaut & Le Loeuff,1998.0
Notoetayoa gargantuai,Xenungulatemammal,Gargantua,Gargantua and Pantagruel,,Literature,"A fossil species of hoofed mammal from thePaleoceneofPatagonia,Argentina, ""Named after the literary character in François Rabelais' sixteenth century story of two eccentric giants, Gargantua and Pantagruel. In allusion to the larger size of this species compared to [its relative]Etayoa bacatensis.""",Animalia,Chordata,Mammalia,,,Notoetayoa,Notoetayoa gargantuai,"Notoetayoa gargantuai Gelfo et al., 2008",Notoetayoa gargantuai,SPECIES,ACCEPTED,True,Gelfo et al.,2008.0
Epimeria gargantua,Amphipod,Gargantua,Gargantua and Pantagruel,,Literature,"""Gargantua is a giant and one of the main characters in the tales of François Rabelais, such asLa vie très horrifique du grand Gargantua, père de Pantagruel. The name [...] alludes to the huge size of the species, which is the largest knownEpimeriaspecies.""",Animalia,Arthropoda,Malacostraca,Amphipoda,Epimeriidae,Epimeria,Epimeria gargantua,"Epimeria gargantua dAcoz & Verheye, 2017",Epimeria gargantua,SPECIES,ACCEPTED,False,dAcoz & Verheye,2017.0
Wukongopterus,Pterosaur,Sun Wukong,Journey to the West,,Literature,"A fossil from the LateJurassic-EarlyCretaceousofChina, named ""Wukongopterus,from Sun Wukong (the Monkey King), one of the most famous and beloved fictional characters of the classical Chinese literature ""Journey to the West"", andpterusfrom the Greek meaning wing.""",Animalia,Chordata,,,Wukongopteridae,Wukongopterus,,"Wukongopterus Wang, Kellner, Jiang & Meng, 2009",Wukongopterus,GENUS,ACCEPTED,True,"Wang, Kellner, Jiang & Meng",2009.0
Ectatosticta wukong,Lampshade spider,Sun Wukong,Journey to the West,,Literature,"GenusEctatostictais endemic toChina. ""The species is named after Wukong, a character in the classic Chinese novelJourney to the West, noun.Journey to the Westwas written during theMing Dynasty(1368–1644 A.D) and is about the adventures of a priest,Xuanzang, and his three disciples, Wukong,Wuneng, andWujing, as they travel west in search of the BuddhistSutra. Their travel begins at what is todayXi'an(near the type locality ofE. davidi), viaQinghai(close to the type locality ofE. deltshevi), toSouth Xinjiang,Tibet(near the type locality ofE. xuanzangsp. nov.) andIndia.""",Animalia,Arthropoda,Arachnida,Araneae,Hypochilidae,Ectatosticta,Ectatosticta wukong,"Ectatosticta wukong Lin & Li, 2020",Ectatosticta wukong,SPECIES,ACCEPTED,False,Lin & Li,2020.0
Ectatosticta xuanzang,Lampshade spider,"Tang Sanzang, a fictional version of the historicalXuanzang",Journey to the West,,Literature,,Animalia,Arthropoda,Arachnida,Araneae,Hypochilidae,Ectatosticta,Ectatosticta xuanzang,"Ectatosticta xuanzang Lin & Li, 2020",Ectatosticta xuanzang,SPECIES,ACCEPTED,False,Lin & Li,2020.0
Ectatosticta bajie,Lampshade spider,Zhu Bajie,Journey to the West,,Literature,,Animalia,Arthropoda,Arachnida,Araneae,Hypochilidae,Ectatosticta,Ectatosticta bajie,"Ectatosticta bajie Lin & Li, 2021",Ectatosticta bajie,SPECIES,ACCEPTED,False,Lin & Li,2021.0
Ectatosticta dapeng,Lampshade spider,Dapeng Jinchi Mingwang,Journey to the West,,Literature,,Animalia,Arthropoda,Arachnida,Araneae,Hypochilidae,Ectatosticta,Ectatosticta dapeng,"Ectatosticta dapeng Lin & Li, 2021",Ectatosticta dapeng,SPECIES,ACCEPTED,False,Lin & Li,2021.0
Ectatosticta rulai,Lampshade spider,"Rulai, a fictional version ofthe Buddha",Journey to the West,,Literature,,Animalia,Arthropoda,Arachnida,Araneae,Hypochilidae,Ectatosticta,Ectatosticta rulai,"Ectatosticta rulai Lin & Li, 2021",Ectatosticta rulai,SPECIES,ACCEPTED,False,Lin & Li,2021.0
Syntelia sunwukong,Beetle,Sun Wukong,Journey to the West,,Literature,"A fossil found inCretaceousBurmese amber. ""The species is named after ""Sunwukong"", the monkey king who was born from a magical rock, in the famous Chinese fictionJourney to the West. The discovery of the new species reminds the authors of the origin of Sunwukong.""",Animalia,Arthropoda,Insecta,Coleoptera,Synteliidae,Syntelia,Syntelia sunwukong,"Syntelia sunwukong Jiang, Rixin & Shuo Wang, 2020",Syntelia sunwukong,SPECIES,ACCEPTED,True,"Jiang, Rixin & Shuo Wang",2020.0
Sycorax,Fly,"Sycorax,The Tempest",William Shakespeare,,Literature,,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Sycorax,,"Sycorax Haliday, 1839",Sycorax,GENUS,ACCEPTED,False,Haliday,1839.0
Peneothello,Australasian robin,"Othello,Othello",William Shakespeare,,Literature,Named for being almost (pene) black,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Peneothello,,"Peneothello Mathews, 1920",Peneothello,GENUS,ACCEPTED,False,Mathews,1920.0
Pigrogromitus,Sea spider,"Pigrogromitus,Twelfth Night",William Shakespeare,,Literature,,Animalia,Arthropoda,Pycnogonida,Pantopoda,Callipallenidae,Pigrogromitus,,"Pigrogromitus Calman, 1927",Pigrogromitus,GENUS,ACCEPTED,False,Calman,1927.0
Queubus,Sea spider,"Queubus,Twelfth Night",William Shakespeare,,Literature,"""In sooth, we taxonomists are hard put to it to find names, but there have been far worse sources than the nonsense of Will Shakespeare.""",Animalia,Arthropoda,Pycnogonida,Pantopoda,Callipallenidae,Queubus,,"Queubus Barnard, 1946",Queubus,GENUS,ACCEPTED,False,Barnard,1946.0
Iago,Houndshark,"Iago,Othello",William Shakespeare,,Literature,"""This shark, a namesake of the villain of Shakespeare'sOthello, is a troublemaker for systematists and hence a kind of villain.""",Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Iago,,"Iago Compagno & Springer, 1971",Iago,GENUS,ACCEPTED,False,Compagno & Springer,1971.0
Geocharidius romeoi,Ground beetle,"Romeo,Romeo and Juliet",William Shakespeare,,Literature,"""Romeoi, after Shakespeare's Romeo, who in Act 1 told Benvolio, ""He that is stricken blind cannot forget the precious treasure of his eyesight lost,"" in reference to the demise of the Central American forests and its probable impact on these blind beetles, which are restricted to deep forest humus and litter.""",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Geocharidius,Geocharidius romeoi,"Geocharidius romeoi Erwin, 1982",Geocharidius romeoi,SPECIES,ACCEPTED,False,Erwin,1982.0
Agra othello,Ground beetle,"Othello,Othello",William Shakespeare,,Literature,"The specific name ""honors the complicated Shakespearian character whose stage image is a large male singer with a dark complexion.Agra othellois very large, black, and belongs to a formerly complicated species group""",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agra,Agra othello,"Agra othello Erwin, 2000",Agra othello,SPECIES,ACCEPTED,False,Erwin,2000.0
Perdita desdemona,Bee,"Desdemona,Othello",William Shakespeare,,Literature,"""The name comes from the character in Shakespeare'sOthello.""",Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita desdemona,"Perdita desdemona Portman, 2016",Perdita desdemona,SPECIES,ACCEPTED,False,Portman,2016.0
Perdita hippolyta,Bee,"Hippolyta,A Midsummer Night's Dream",William Shakespeare,,Literature,"""The name comes from the character in Shakespeare'sA Midsummer Night's Dream.""",Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita hippolyta,"Perdita hippolyta Portman & Griswold, 2016",Perdita hippolyta,SPECIES,ACCEPTED,False,Portman & Griswold,2016.0
Perdita sycorax,Bee,"Sycorax,The Tempest",William Shakespeare,,Literature,"""The name comes from the unseen character in Shakespeare's The Tempest.""",Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita sycorax,"Perdita sycorax Portman, 2016",Perdita sycorax,SPECIES,ACCEPTED,False,Portman,2016.0
Perdita titania,Bee,"Titania,A Midsummer Night's Dream",William Shakespeare,,Literature,"""The name comes from the fairy queen Titania in Shakespeare's play A Midsummer Night's Dream. The name was chosen due to the beauty and rarity of this species.""",Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita titania,"Perdita titania Portman & Griswold, 2016",Perdita titania,SPECIES,ACCEPTED,False,Portman & Griswold,2016.0
Alfaites romeo,Hyolith,"Romeo,Romeo and Juliet",William Shakespeare,,Literature,"""The specific epithet 'romeo' refers to the Shakespeare's protagonist Romeo Montague.""",Animalia,,,,,Alfaites,Alfaites romeo,"Alfaites romeo Valentin, Fatka & Marek, 2019",Alfaites romeo,SPECIES,ACCEPTED,True,"Valentin, Fatka & Marek",2019.0
Pseudotanais julietae,Tanaid,"Juliet,Romeo and Juliet",William Shakespeare,,Literature,P. julietaeandP. romeoform a pair ofsister species.,Animalia,Arthropoda,Malacostraca,Tanaidacea,Pseudotanaidae,Pseudotanais,Pseudotanais julietae,"Pseudotanais julietae Jakiel, Palero & Błażewicz, 2019",Pseudotanais julietae,SPECIES,ACCEPTED,False,"Jakiel, Palero & Błażewicz",2019.0
Pseudotanais romeo,Tanaid,"Romeo,Romeo and Juliet",William Shakespeare,,Literature,,Animalia,Arthropoda,Malacostraca,Tanaidacea,Pseudotanaidae,Pseudotanais,Pseudotanais romeo,"Pseudotanais romeo Jakiel, Palero & Błażewicz, 2019",Pseudotanais romeo,SPECIES,ACCEPTED,False,"Jakiel, Palero & Błażewicz",2019.0
Synagelides rosalindae,Jumping spider,"Rosalind,As You Like It",William Shakespeare,,Literature,"""The species is named after Rosalind Senior, the heroine of the play As You Like It by William Shakespeare. Generally noted for her resilience, quick wit, and beauty.""",Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Synagelides,Synagelides rosalindae,"Synagelides rosalindae Kanesharatnam & Benjamin, 2020",Synagelides rosalindae,SPECIES,ACCEPTED,False,Kanesharatnam & Benjamin,2020.0
Synagelides orlandoi,Jumping spider,"Orlando,As You Like It",William Shakespeare,,Literature,"""The species is named after Orlando de Bois, who at first sight falls in love with Rosalind. He is brave, chivalrous, tender, modest, smart, strong, handsome and beloved by all. However, he is unable to express his love for Rosalind, before he leaves to the forest of Arden.""",Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Synagelides,Synagelides orlandoi,"Synagelides orlandoi Kanesharatnam & Benjamin, 2020",Synagelides orlandoi,SPECIES,ACCEPTED,False,Kanesharatnam & Benjamin,2020.0
Hipparion rocinantis,Horse,Rocinante,Don Quixote,,Literature,"A fossil species of primitive horse from thePlioceneofLa Mancha,Spain, named ""in memory of the horse that was the product of the fantasy and genius of our immortalCervantes. [...] the name I have chosen associates the equine idea with the geographical one [...]""",Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Hipparion,Hipparion rocinantis,"Hipparion rocinantis Hernández Pacheco, 1921",Hipparion rocinantis,SPECIES,ACCEPTED,True,Hernández Pacheco,1921.0
Ardistomis quixotei,Ground beetle,Don Quixote,Don Quixote,,Literature,"""a patronymic, based on the Latinized surname of the fictional Don Quijote, immortalized in the famous novelDon Quijote de la Manchawritten by Miguel de Cervantes Saavedra and first published in 1605. This species is named to commemorate the 400th anniversary of publication of this important piece of Spanish literature.""",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Ardistomis,Ardistomis quixotei,"Ardistomis quixotei Valdes, 2007",Ardistomis quixotei,SPECIES,ACCEPTED,False,Valdes,2007.0
Lohuecotitan pandafilandi,Titanosaur,Pandafilando of the Scowl,Don Quixote,,Literature,"""The specific namepandafilandirefers to Pandafilando de la fosca vista, one of the characters in the novelThe Ingenious Gentleman Don Quixote of La Mancha(El ingenioso hidalgo don Quijote de la Mancha) written by Miguel de Cervantes and published in the early seventeenth century. Pandafilando is, in the mind of the protagonist, a giant against whom he must fight."" The character is named ""Pandafilando of theScowl"" inJohn Ormsby's translation.",Animalia,Chordata,,,,Lohuecotitan,Lohuecotitan pandafilandi,"Lohuecotitan pandafilandi Díez Díaz, Mocho, Páramo, Escaso, Marcos-Fernández, Sanz & Ortega, 2016",Lohuecotitan pandafilandi,SPECIES,ACCEPTED,True,"Díez Díaz, Mocho, Páramo, Escaso, Marcos-Fernández, Sanz & Ortega",2016.0
Carex quixotiana,Sedge,Don Quixote,Don Quixote,,Literature,"""The species epithet,quixotiana(pronounced kee·how·tee·a·na in English) is derived fromMiguel de Cervantes's (1547–1616) masterpieceDon Quixote[...], globally considered one of the best works in the history of literature, and whose number of editions and translations is only surpassed by theBible. The setting of Don Quixote is La Mancha, the region of Spain where almost all populations ofCarex quixotianaoccur.""",Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex quixotiana,"Carex quixotiana Ben.Benitez, Martin-Bravo, Luceno & Jim.Mejias, 2023",Carex quixotiana,SPECIES,ACCEPTED,False,"Ben.Benitez, Martin-Bravo, Luceno & Jim.Mejias",2023.0
Hemistomia fridayi,Freshwater snail,"Friday,Robinson Crusoe",Robinson Crusoe,,Literature,"This species was found in the district of Robinson,New Caledonia.",Animalia,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Hemistomia,Hemistomia fridayi,"Hemistomia fridayi Haase & Bouchet, 1998",Hemistomia fridayi,SPECIES,ACCEPTED,False,Haase & Bouchet,1998.0
Oncopagurus crusoei,Hermit crab,Robinson Crusoe,Robinson Crusoe,,Literature,"This species is endemic to theJuan Fernández Islands, whereAlexander Selkirkwas shipwrecked; he was the inspiration forRobinson Crusoe.",Animalia,Arthropoda,Malacostraca,Decapoda,Parapaguridae,Oncopagurus,Oncopagurus crusoei,"Oncopagurus crusoei Lemaitre, 2014",Oncopagurus crusoei,SPECIES,ACCEPTED,False,Lemaitre,2014.0
Holorusia brobdingnagia,Crane fly,Brobdingnag,Gulliver's Travels,,Literature,,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Holorusia,Holorusia brobdingnagia,"Holorusia brobdingnagia (Westwood, 1876)",Holorusia brobdingnagia,SPECIES,ACCEPTED,False,Westwood,1876.0
Laputa,Filefish,Laputa,Gulliver's Travels,,Literature,,Animalia,Chordata,Aves,Apodiformes,,Laputa,,"Laputa Dyke, 2001",Laputa,GENUS,ACCEPTED,False,Dyke,2001.0
Blossfeldia liliputana,Cactus,Lilliput,Gulliver's Travels,,Literature,Smallest cactus known to science.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Blossfeldia,Blossfeldia liliputana,Blossfeldia liliputana Werderm.,Blossfeldia liliputana,SPECIES,ACCEPTED,False,,1937.0
Balnibarbi,Trilobite,Balnibarbi,Gulliver's Travels,,Literature,,Animalia,Arthropoda,Trilobita,Ptychopariida,Olenidae,Balnibarbi,,"Balnibarbi Fortey, 1974",Balnibarbi,GENUS,ACCEPTED,True,Fortey,1974.0
Dryadella lilliputiana,Orchid,Lilliput,Gulliver's Travels,,Literature,"""Many of the species names reflect their diminutive stature [...]D. lilliputianato Gulliver's tiny captors""",Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dryadella,Dryadella lilliputiana,Dryadella lilliputiana (Cogn.) Luer,Dryadella lilliputiana,SPECIES,ACCEPTED,False,,1978.0
Blefuscuiana,Foraminifer,Blefuscu,Gulliver's Travels,,Literature,"A fossil genus from theCretaceousofEngland; ""Blefuscuiana is named in distinction fromLilliputianellan. gen. and derives its name from the miniature ovoids of Blefuscu (Swift, 1726) which were displayed at their bluntly rounded ends."" Some sources synonymize this genus withHedbergella.",Chromista,Foraminifera,Globothalamea,Rotaliida,Praehedbergellidae,Blefuscuiana,,"Blefuscuiana Banner & Desai, 1988",Blefuscuiana,GENUS,ACCEPTED,True,Banner & Desai,1988.0
Lilliputianella,Foraminifer,Lilliput,Gulliver's Travels,,Literature,"A fossil genus from theCretaceousofEngland; ""The generic nameLilliputianellais derived from Lilliput (Swift, 1726) wherein organisms were of small proportions and where ovoids which displayed their pointed ends were preferred.""",Chromista,Foraminifera,Globothalamea,Rotaliida,Praehedbergellidae,Lilliputianella,,"Lilliputianella Banner & Desai, 1988",Lilliputianella,GENUS,ACCEPTED,True,Banner & Desai,1988.0
Chorebus liliputanus,Wasp,Lilliput,Gulliver's Travels,,Literature,"""The name refers to the very small size of the species.""",Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Chorebus,Chorebus liliputanus,"Chorebus liliputanus Fischer, Tormos, Docavo & Pardo, 2004",Chorebus liliputanus,SPECIES,ACCEPTED,False,"Fischer, Tormos, Docavo & Pardo",2004.0
Viola lilliputana,Violet,Lilliput,Gulliver's Travels,,Literature,"""The specific epithet makes a fanciful reference to the tiny growth form of the new species as 'lilliputian'""",Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola lilliputana,Viola lilliputana Iltis & H.E.Ballard,Viola lilliputana,SPECIES,ACCEPTED,False,,2012.0
Peruphorticus gulliveri,Ground beetle,Lemuel Gulliver,Gulliver's Travels,,Literature,"""We so name this species because of its very large size in comparison to its congeners, reminding us of Gulliver's travels on the island of Lilliput.""",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Peruphorticus,Peruphorticus gulliveri,"Peruphorticus gulliveri Erwin & Zamorano, 2014",Peruphorticus gulliveri,SPECIES,ACCEPTED,False,Erwin & Zamorano,2014.0
Meoneura lilliputensis,Fly,Lilliput,Gulliver's Travels,,Literature,"A tiny fly (length<2 mm) ""named after the fictional island Lilliput that was introduced in the novelGulliver's Travelsby Jonathan Swift (1726). Lilliput is inhabited by tiny people, who are about one-twelfth the height of ordinary human beings.""",Animalia,Arthropoda,Insecta,Diptera,Carnidae,Meoneura,Meoneura lilliputensis,"Meoneura lilliputensis Stuke & Freidberg, 2017",Meoneura lilliputensis,SPECIES,ACCEPTED,False,Stuke & Freidberg,2017.0
Anthobium liliputense,Rove beetle,Lilliput,Gulliver's Travels,,Literature,"""The specific epithet is derived from Lilliput, the fictional island with small people that appear in the novelGulliver's Travelsby the famous English writer Jonathan Swift. It refers to the very small size of the species.""",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Anthobium,Anthobium liliputense,"Anthobium liliputense Shavrin & Smetana, 2018",Anthobium liliputense,SPECIES,ACCEPTED,False,Shavrin & Smetana,2018.0
Pluteus liliputianus,Mushroom,Lilliput,Gulliver's Travels,,Literature,"""The epithet reflects very small, diminutive size ofbasidiocarps""",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus liliputianus,Pluteus liliputianus E.F.Malysheva & Malysheva,Pluteus liliputianus,SPECIES,ACCEPTED,False,,2019.0
Hypothenemus liliputianus,Bark beetle,Lilliput,Gulliver's Travels,,Literature,"""Latinized form of liliputian, referring to the very small size of the female.""",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Hypothenemus,Hypothenemus liliputianus,"Hypothenemus liliputianus Bright, 2019",Hypothenemus liliputianus,SPECIES,ACCEPTED,False,Bright,2019.0
Matelea lilliputiana,Milkvine,Lilliput,Gulliver's Travels,,Literature,"""The specific epithet refers to the small flowers of this plant and is associated with the tiny characters of Lilliput, from the novelGulliver's Travelsby the writer Jonathan Swift. This plant has the smallest flowers within theMateleagenus in Mexico.""",Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Matelea,,Matelea Aubl.,Matelea,SPECIES,ACCEPTED,False,,2024.0
Paracalanus quasimodo,Copepod,"Quasimodo,The Hunchback of Notre-Dame",Victor Hugo,,Literature,"""The name is derived from the protagonist of Victor Hugo's classic novel,The Hunchback of Notre-Dame, and alludes to the distinctive shape of the prosome.""",Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,"Paracalanus quasimodo Bowman, 1971",Paracalanus quasimodo,SPECIES,ACCEPTED,False,Bowman,1971.0
Stylaclista quasimodo,Wasp,"Quasimodo,The Hunchback of Notre-Dame",Victor Hugo,,Literature,"""Stylaclista quasimodocan be recognised by its strongly humped scutellum (hence the name), setation of the head and mesosoma, and the scarcity of setae between the epomia.""",Animalia,Arthropoda,Insecta,Hymenoptera,Diapriidae,Stylaclista,Stylaclista quasimodo,"Stylaclista quasimodo Early, 1980",Stylaclista quasimodo,SPECIES,ACCEPTED,False,Early,1980.0
Tetragnatha quasimodo,Long-jawed orb weaver,"Quasimodo,The Hunchback of Notre-Dame",Victor Hugo,,Literature,"""The common name of this species is ""Humpback Spiny"", because of the prominent mid-dorsal peak of the abdomen. The specific epithet, regarded as a noun in apposition, refers to Victor Hugo'sHunchback of Notre-Dame.""",Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tetragnatha,Tetragnatha quasimodo,"Tetragnatha quasimodo Gillespie, 1992",Tetragnatha quasimodo,SPECIES,ACCEPTED,False,Gillespie,1992.0
Agra eponine,Ground beetle,"Éponine,Les Misérables",Victor Hugo,,Literature,"""The specific epithet,eponine, is the name of the unfortunate street urchin inVictor Hugo'sLes Miserables, who, in theBroadwayversion of the story, personified tragic beauty. Such is the state of the tropical forests where these beetles live""",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agra,Agra eponine,"Agra eponine Erwin, 2000",Agra eponine,SPECIES,ACCEPTED,False,Erwin,2000.0
Schistura quasimodo,Stone loach,"Quasimodo,The Hunchback of Notre-Dame",Victor Hugo,,Literature,"The body of this species ""sometimes [shows] a conspicuous hump"".",Animalia,Chordata,,Cypriniformes,Nemacheilidae,Schistura,Schistura quasimodo,"Schistura quasimodo Kottelat, 2000",Schistura quasimodo,SPECIES,ACCEPTED,False,Kottelat,2000.0
Paradynomene quasimodo,Crab,"Quasimodo,The Hunchback of Notre-Dame",Victor Hugo,,Literature,"""The name is derived from Victor Hugo's character, Quasimodo, the Hunchback of Notre-Dame; alluding to its tumescent, hunchback carapace shape.""",Animalia,Arthropoda,Malacostraca,Decapoda,Dynomenidae,Paradynomene,Paradynomene quasimodo,"Paradynomene quasimodo McLay & Ng, 2004",Paradynomene quasimodo,SPECIES,ACCEPTED,False,McLay & Ng,2004.0
Neopantopsalis quasimodo,Harvestman,"Quasimodo,The Hunchback of Notre-Dame",Victor Hugo,,Literature,,Animalia,Arthropoda,Arachnida,Opiliones,Neopilionidae,Neopantopsalis,Neopantopsalis quasimodo,"Neopantopsalis quasimodo Taylor & Hunt, 2009",Neopantopsalis quasimodo,SPECIES,ACCEPTED,False,Taylor & Hunt,2009.0
Harpirhynchus quasimodo,Mite,"Quasimodo,The Hunchback of Notre-Dame",Victor Hugo,,Literature,"""Anterior part of propodonotal shield bearing hump-like projection...""",Animalia,Arthropoda,Arachnida,Trombidiformes,Harpirhynchidae,Harpirhynchus,Harpirhynchus quasimodo,"Harpirhynchus quasimodo Bochkov & Mertens, 2010",Harpirhynchus quasimodo,SPECIES,ACCEPTED,False,Bochkov & Mertens,2010.0
